Date,Age,Gender,City,Tier,Occupation,Other Occupation,CRY Source,Other CRY Source,Volunteering Location Preference
09/01/2025,20,Female,Kolkata ,,College/University Student,,CRY Website,,Kolkata
08/31/2025,19,Male,Kolkata,,College/University Student,,Online ads and Posts,,Kolkata
08/31/2025,18,Female,Pune,,College/University Student,,CRY Website,,Kolkata
08/31/2025,20,Female,Jorhat,,College/University Student,,Others,,Kolkata
08/31/2025,47,Male,Ganjam,,Working Professional,,Social Media Sites,,Kolkata
08/30/2025,46,Female,Kolkata ,,Home Maker,,Online ads and Posts,,Kolkata
08/30/2025,21,Male,Kolkata,,College/University Student,,Family/Friend,,Kolkata
08/30/2025,29,Male,Kolkata ,,Working Professional,,Family/Friend,,Kolkata
08/30/2025,29,Male,Howrah,,Working Professional,,Family/Friend,,Kolkata
08/30/2025,20,Female,Kolkata ,,College/University Student,,Social Media Sites,,Kolkata
08/29/2025,17,Female,Bokaro,,School Student,,Social Media Sites,,Kolkata
08/29/2025,20,Male,Kolkata ,,College/University Student,,Social Media Sites,,Kolkata
08/29/2025,50,Male,Dhanbad,,Working Professional,,CRY Website,,Kolkata
08/28/2025,23,Female,Kolkata,,College/University Student,,CRY Website,,Kolkata
08/28/2025,23,Male,Kolkata,,College/University Student,,CRY Website,,Kolkata
08/28/2025,19,Female,Kolkata,,College/University Student,,CRY Website,,Kolkata
08/28/2025,19,Female,Kolkata,,College/University Student,,CRY Website,,Kolkata
08/28/2025,21,Female,Kolkata,,School Student,,CRY Website,,Kolkata
08/27/2025,23,Male,Gangtok,,College/University Student,,CRY Website,,Kolkata
08/27/2025,23,Male,Kolkata,,Working Professional,,CRY Website,,Kolkata
08/24/2025,22,Male,Dibrugarh,,College/University Student,,CRY Website,,Kolkata
08/23/2025,22,Male,Kharagpur,,School Student,,Family/Friend,,Kolkata
08/23/2025,48,Male,Kolkata,,Personal Business,,CRY Website,,Kolkata
08/23/2025,22,Male,Kolkata ,,Working Professional,,Others,,Kolkata
08/22/2025,25,Male,Kolkata,,Working Professional,,CRY Website,,Kolkata
08/22/2025,17,Male,Kolkata,,School Student,,Social Media Sites,,Kolkata
08/22/2025,19,Female,Ranchi,,College/University Student,,CRY Website,,Kolkata
08/22/2025,19,Female,Ranchi,,College/University Student,,CRY Website,,Kolkata
08/21/2025,24,Male,Jamalpur,,College/University Student,,CRY Website,,Kolkata
08/21/2025,17,Female,Purnea ,,College/University Student,,Others,,Kolkata
08/20/2025,21,Female,Kolkata,,College/University Student,,Social Media Sites,,Kolkata
08/20/2025,26,Male,Kolkata,,Working Professional,,CRY Website,,Kolkata
08/19/2025,22,Male,Kolkata,,College/University Student,,CRY Website,,Kolkata
08/19/2025,31,Female,Kolkata ,,College/University Student,,Social Media Sites,,Kolkata
08/19/2025,62,Male,Howrah,,Retired,,CRY Website,,Kolkata
08/18/2025,19,Female,Kolkata,,College/University Student,,CRY Website,,Kolkata
08/18/2025,16,Female,Kolkata ,,School Student,,CRY Website,,Kolkata
08/18/2025,19,Female,Kolkata,,College/University Student,,CRY Website,,Kolkata
08/17/2025,21,Female,Kolkata Diamond harbour,,College/University Student,,CRY Website,,Kolkata
08/17/2025,16,Male,Kolkata,,School Student,,CRY Website,,Kolkata
08/17/2025,17,Male,Kolkata,,School Student,,CRY Website,,Kolkata
08/16/2025,21,Female,Uttarpara,,College/University Student,,CRY Website,,Kolkata
08/15/2025,33,Female,Kolkata,,Other,HR Manager currently on break,CRY Website,,Kolkata
08/15/2025,20,Female,Kolkata,,College/University Student,,Family/Friend,,Kolkata
08/14/2025,31,Female,Kolkata ,,College/University Student,,CRY Website,,Kolkata
08/13/2025,64,Male,Kolkata,,Retired,,CRY Website,,Kolkata
08/13/2025,19,Female,Kolkata ,,College/University Student,,CRY Website,,Kolkata
08/13/2025,19,Female,Kolkata ,,College/University Student,,CRY Website,,Kolkata
08/12/2025,28,Female,Bhagalpur,,School Student,,CRY Website,,Kolkata
08/11/2025,32,Male,Kolkata,,Working Professional,,CRY Website,,Kolkata
08/11/2025,16,Female,Kolkata,,School Student,,CRY Website,,Kolkata
08/11/2025,24,Male,Kolkata ,,Working Professional,,Social Media Sites,,Kolkata
08/11/2025,29,Male,Kolkata,,Working Professional,,CRY Website,,Kolkata
08/11/2025,20,Male,Prayagraj,,College/University Student,,CRY Website,,Kolkata
08/11/2025,20,Male,Prayagraj,,College/University Student,,CRY Website,,Kolkata
08/11/2025,19,Female,Kolkata ,,College/University Student,,CRY Website,,Kolkata
08/11/2025,19,Female,Hooghly,,College/University Student,,Social Media Sites,,Kolkata
08/11/2025,21,Female,Kolkata ,,College/University Student,,CRY Website,,Kolkata
08/10/2025,23,Female,Basirhat,,Home Maker,,Social Media Sites,,Kolkata
08/10/2025,31,Female,Kolkata ,,College/University Student,,Social Media Sites,,Kolkata
08/08/2025,20,Female,Kolkata ,,College/University Student,,CRY Website,,Kolkata
08/08/2025,32,Male,Kolkata,,Working Professional,,CRY Website,,Kolkata
08/08/2025,32,Male,Kolkata,,Working Professional,,CRY Website,,Kolkata
08/08/2025,19,Female,Kolkata ,,Other,I have completed my 12th and taken a drop to prepare for competitive exams,Online ads and Posts,,Kolkata
08/08/2025,19,Female,Kolkata ,,Other,I have completed my 12th and taken a drop to prepare for competitive exams,CRY Website,,Kolkata
08/07/2025,24,Male,Kolkata,,Working Professional,,CRY Website,,Kolkata
08/07/2025,28,Female,Kolkata,,Working Professional,,CRY Website,,Kolkata
08/07/2025,28,Female,Kolkata,,Working Professional,,Family/Friend,,Kolkata
08/06/2025,24,Female,Kalyani,,College/University Student,,CRY Website,,Kolkata
08/04/2025,16,Female,Kolkata,,School Student,,CRY Volunteers/Interns,,Kolkata
08/04/2025,26,Female,Kolkata,,Other,Preparing for competitive exams. Want to contribute to the society and work for child rights.,CRY Website,,Kolkata
08/02/2025,25,Male,Kolkata,,College/University Student,,Others,,Kolkata
08/02/2025,19,Female,Kolkata,,College/University Student,,Family/Friend,,Kolkata
08/02/2025,19,Female,Kolkata,,College/University Student,,Family/Friend,,Kolkata
08/02/2025,42,Female,Bhubaneswar ,,Home Maker,,Social Media Sites,,Kolkata
08/01/2025,17,Male,Ranchi,,School Student,,Family/Friend,,Kolkata
08/01/2025,21,Male,Howrah,,College/University Student,,CRY Website,,Kolkata
08/01/2025,23,Female,Kolkata ,,College/University Student,,CRY Website,,Kolkata
07/31/2025,18,Female,Kolkata ,,School Student,,Social Media Sites,,Kolkata
07/31/2025,14,Male,Tinisukia,,School Student,,Online ads and Posts,,Kolkata
07/31/2025,18,Female,Kolkata,,College/University Student,,Family/Friend,,Kolkata
07/31/2025,21,Male,Howrah,,College/University Student,,CRY Website,,Kolkata
07/31/2025,23,Female,purulia,,Other,I just completed M.A in geography. Still I am studying to fullfill my dream .,Social Media Sites,,Kolkata
07/30/2025,18,Female,Kolkata ,,School Student,,Social Media Sites,,Kolkata
07/30/2025,22,Female,Jamshedpur,,College/University Student,,Others,,Kolkata
07/30/2025,31,Male,Asansol,,College/University Student,,Social Media Sites,,Kolkata
07/30/2025,19,Female,Kolkata ,,College/University Student,,Social Media Sites,,Kolkata
07/30/2025,25,Female,Kolkata,,Other,Government Job preparation,CRY Website,,Kolkata
07/28/2025,21,Female,Kolkata,,College/University Student,,CRY Website,,Kolkata
07/28/2025,21,Female,Kolkata,,College/University Student,,CRY Website,,Kolkata
07/28/2025,24,Male,Kolkata,,Working Professional,,CRY Website,,Kolkata
07/27/2025,22,Female,Azamgarh,,Other,I have completed my postgraduation,Social Media Sites,,Kolkata
07/25/2025,24,Female,Siwan,,College/University Student,,Social Media Sites,,Kolkata
07/25/2025,24,Female,Siwan,,College/University Student,,Social Media Sites,,Kolkata
07/25/2025,27,Female,Kolkata ,,Other,Aspirant ,CRY Website,,Kolkata
07/25/2025,24,Female,Hooghly ,,College/University Student,,CRY Website,,Kolkata
07/25/2025,21,Female,Kolkata,,College/University Student,,CRY Website,,Kolkata
07/25/2025,27,Male,Bhubaneswar,,Working Professional,,CRY Website,,Kolkata
07/22/2025,22,Female,Damoh,,Working Professional,,Family/Friend,,Kolkata
07/22/2025,20,Female,Kolkata ,,College/University Student,,Social Media Sites,,Kolkata
07/21/2025,18,Female,Kolkata ,,College/University Student,,CRY Website,,Kolkata
07/21/2025,18,Female,Kolkata ,,College/University Student,,CRY Website,,Kolkata
07/20/2025,24,Female,Kolkata,,College/University Student,,CRY Website,,Kolkata
07/20/2025,18,Female,Kalimpong ,,School Student,,CRY Website,,Kolkata
07/19/2025,45,Female,Kolkata,,Home Maker,,Social Media Sites,,Kolkata
07/19/2025,23,Female,Kolkata,,College/University Student,,Social Media Sites,,Kolkata
07/19/2025,17,Female,Kolkata,,College/University Student,,Family/Friend,,Kolkata
07/18/2025,21,Female,Kolkata,,College/University Student,,CRY Website,,Kolkata
07/16/2025,21,Female,Bhopal,,College/University Student,,CRY Website,,Kolkata
07/16/2025,25,Male,Ajmer,,Other,Spiritual Seeker ,Family/Friend,,Kolkata
07/15/2025,19,Female,Kolkata ,,College/University Student,,Family/Friend,,Kolkata
07/15/2025,20,Female,Kolkata,,College/University Student,,Social Media Sites,,Kolkata
07/15/2025,17,Male,Kolkata,,College/University Student,,Family/Friend,,Kolkata
07/15/2025,17,Female,Kakurgachi ,,School Student,,CRY Website,,Kolkata
07/14/2025,21,Female,Kolkata ,,College/University Student,,CRY Website,,Kolkata
07/14/2025,17,Female,Kolkata ,,School Student,,CRY Website,,Kolkata
07/14/2025,16,Female,Kolkata,,School Student,,CRY Website,,Kolkata
07/13/2025,18,Female,Kolkata ,,College/University Student,,Family/Friend,,Kolkata
07/13/2025,19,Female,Kolkata,,College/University Student,,CRY Website,,Kolkata
07/13/2025,25,Female,Twenty Four Paraganas North,,College/University Student,,CRY Website,,Kolkata
07/13/2025,22,Female,KHARAGPUR,,College/University Student,,Social Media Sites,,Kolkata
07/13/2025,18,Female,Kolkata,,College/University Student,,Social Media Sites,,Kolkata
07/12/2025,27,Female,Kolkata ,,Working Professional,,CRY Website,,Kolkata
07/12/2025,31,Male,Ranchi,,Working Professional,,CRY Website,,Kolkata
07/12/2025,17,Female,Kolkata ,,School Student,,CRY Website,,Kolkata
07/12/2025,55,Male,Kolkata,,Working Professional,,CRY Website,,Kolkata
07/11/2025,28,Male,North Tripura,,Working Professional,,Others,,Kolkata
07/10/2025,16,Female,Kolkata ,,School Student,,CRY Website,,Kolkata
07/10/2025,20,Female,Kolkata,,College/University Student,,Social Media Sites,,Kolkata
07/09/2025,29,Male,Hingalganj,,Working Professional,,Social Media Sites,,Kolkata
07/09/2025,19,Female,Kolkata,,College/University Student,,Social Media Sites,,Kolkata
07/09/2025,21,Male,Kurukshetra,,College/University Student,,Social Media Sites,,Kolkata
07/09/2025,18,Female,Kolkata,,College/University Student,,CRY Website,,Kolkata
07/09/2025,16,Female,Mirzapur,,School Student,,Social Media Sites,,Kolkata
07/09/2025,22,Female,Coochbehar,,College/University Student,,Others,,Kolkata
07/06/2025,20,Female,Kolkata,,College/University Student,,Social Media Sites,,Kolkata
07/06/2025,16,Female,Guwahati ,,School Student,,CRY Website,,Kolkata
07/06/2025,17,Female,Kolkata,,College/University Student,,Social Media Sites,,Kolkata
07/06/2025,18,Female,Kolkata,,School Student,,Others,,Kolkata
07/05/2025,19,Female,Kolkata ,,College/University Student,,Others,,Kolkata
07/04/2025,15,Female,Duliajan,,School Student,,Others,,Kolkata
07/03/2025,20,Female,Kolkata,,College/University Student,,Family/Friend,,Kolkata
07/02/2025,23,Female,Kolkata,,College/University Student,,CRY Website,,Kolkata
07/02/2025,18,Female,Kolkata,,College/University Student,,Social Media Sites,,Kolkata
07/02/2025,23,Male,Kolkata ,,College/University Student,,CRY Website,,Kolkata
07/02/2025,19,Female,Kolkata,,College/University Student,,Family/Friend,,Kolkata
07/02/2025,18,Female,Kolkata,,College/University Student,,Social Media Sites,,Kolkata
07/01/2025,20,Female,Kolkata,,College/University Student,,Social Media Sites,,Kolkata
07/01/2025,19,Female,Kolkata,,College/University Student,,Social Media Sites,,Kolkata
07/01/2025,19,Female,Kolkata ,,College/University Student,,Others,,Kolkata
06/30/2025,24,Male,Barrackpore ,,Working Professional,,CRY Staff,,Kolkata
06/29/2025,25,Female,Kolkata,,Other,Job aspirant. Fresher,Social Media Sites,,Kolkata
06/29/2025,20,Female,Kolkata ,,College/University Student,,Family/Friend,,Kolkata
06/29/2025,16,Female,Kolkata ,,School Student,,Others,,Kolkata
06/29/2025,20,Male,Kolkata ,,College/University Student,,Social Media Sites,,Kolkata
06/28/2025,44,Female,Kolkata,,Home Maker,,Family/Friend,,Kolkata
06/27/2025,28,Female,Bhagalpur,,Working Professional,,CRY Website,,Kolkata
06/27/2025,28,Female,Bhagalpur,,Working Professional,,CRY Website,,Kolkata
06/27/2025,20,Male,Howrah,,College/University Student,,Social Media Sites,,Kolkata
06/26/2025,19,Female,Kolkata,,College/University Student,,Social Media Sites,,Kolkata
06/26/2025,17,Female,Kolkata ,,College/University Student,,Social Media Sites,,Kolkata
06/26/2025,20,Female,Kolkata ,,College/University Student,,Others,,Kolkata
06/26/2025,21,Female,Kolkata ,,College/University Student,,Social Media Sites,,Kolkata
06/25/2025,19,Female,Guwahati,,College/University Student,,Social Media Sites,,Kolkata
06/25/2025,20,Female,Kolkata,,Working Professional,,Family/Friend,,Kolkata
06/25/2025,19,Female,Kolkata,,College/University Student,,CRY Website,,Kolkata
06/25/2025,19,Female,Krishnanagar,,College/University Student,,Family/Friend,,Kolkata
06/24/2025,17,Female,Kolkata,,College/University Student,,Social Media Sites,,Kolkata
06/23/2025,28,Female,Bhagalpur,,Working Professional,,CRY Website,,Kolkata
06/23/2025,18,Female,Howrah,,College/University Student,,Social Media Sites,,Kolkata
06/22/2025,19,Female,Silchar,,College/University Student,,CRY Website,,Kolkata
06/21/2025,19,Female,Kolkata,,College/University Student,,CRY Website,,Kolkata
06/21/2025,20,Female,Kolkata,,College/University Student,,Family/Friend,,Kolkata
06/21/2025,21,Male,Kolkata,,College/University Student,,CRY Website,,Kolkata
06/21/2025,17,Female,Kolkata,,College/University Student,,Social Media Sites,,Kolkata
06/21/2025,25,Female,Kolkata ,,College/University Student,,CRY Volunteers/Interns,,Kolkata
06/21/2025,16,Female,Bokaro,,School Student,,Online ads and Posts,,Kolkata
06/21/2025,19,Female,Kolkata ,,College/University Student,,Social Media Sites,,Kolkata
06/21/2025,20,Male,Bhubaneswar ,,College/University Student,,Social Media Sites,,Kolkata
06/20/2025,20,Female,Kolkata,,Working Professional,,Family/Friend,,Kolkata
06/20/2025,36,Female,Kolkata,,Working Professional,,CRY Volunteers/Interns,,Kolkata
06/19/2025,19,Female,Kolkata,,College/University Student,,CRY Website,,Kolkata
06/19/2025,17,Female,Chennai,,School Student,,CRY Website,,Kolkata
06/18/2025,24,Male,Kolkata,,College/University Student,,CRY Website,,Kolkata
06/18/2025,20,Female,Kolkata,,College/University Student,,Family/Friend,,Kolkata
06/17/2025,19,Female,Kolkata,,College/University Student,,CRY Website,,Kolkata
06/17/2025,18,Male,Tezpur ,,School Student,,CRY Website,,Kolkata
06/16/2025,20,Male,Kolkata,,College/University Student,,Online ads and Posts,,Kolkata
06/16/2025,22,Male,Kolkata ,,College/University Student,,Family/Friend,,Kolkata
06/15/2025,16,Male,Kolkata,,School Student,,CRY Website,,Kolkata
06/15/2025,25,Female,Kolkata,,College/University Student,,CRY Website,,Kolkata
06/15/2025,18,Female,Kolkata,,College/University Student,,Social Media Sites,,Kolkata
06/15/2025,18,Male,Chakradharpur,,College/University Student,,Others,,Kolkata
06/14/2025,32,Male,Kolkata,,Working Professional,,CRY Website,,Kolkata
06/14/2025,19,Female,Kolkata ,,College/University Student,,Others,,Kolkata
06/14/2025,21,Female,Kolkata,,College/University Student,,CRY Website,,Kolkata
06/14/2025,26,Female,Kolkata,,College/University Student,,CRY Website,,Kolkata
06/14/2025,17,Female,Chennai,,School Student,,CRY Website,,Kolkata
06/13/2025,17,Female,Kolkata ,,College/University Student,,CRY Website,,Kolkata
06/13/2025,21,Female,Kolkata ,,College/University Student,,Family/Friend,,Kolkata
06/13/2025,24,Male,Kolkata,,College/University Student,,CRY Website,,Kolkata
06/13/2025,26,Female,Kolkata,,College/University Student,,CRY Website,,Kolkata
06/12/2025,17,Female,Kolkata,,College/University Student,,CRY Website,,Kolkata
06/12/2025,22,Male,Kolkata,,Other,Civil Services aspirant,CRY Website,,Kolkata
06/12/2025,21,Female,Kolkata,,College/University Student,,Social Media Sites,,Kolkata
06/12/2025,17,Female,Kolkata,,School Student,,Online ads and Posts,,Kolkata
06/12/2025,22,Male,Bankura ,,College/University Student,,CRY Website,,Kolkata
06/11/2025,20,Female,Kolkata,,College/University Student,,CRY Website,,Kolkata
06/11/2025,19,Male,Jamshedpur ,,College/University Student,,Family/Friend,,Kolkata
06/10/2025,19,Male,Jamshedpur,,College/University Student,,CRY Website,,Kolkata
06/09/2025,17,Female,Jamshedpur,,College/University Student,,Others,,Kolkata
06/09/2025,31,Female,Kolkata ,,Home Maker,,Online ads and Posts,,Kolkata
06/09/2025,19,Female,Berhampur,,College/University Student,,Online ads and Posts,,Kolkata
06/09/2025,25,Female,Kolkata,,Working Professional,,CRY Website,,Kolkata
06/09/2025,17,Male,Indore,,College/University Student,,CRY Website,,Kolkata
06/09/2025,17,Female,Kolkata,,School Student,,Others,,Kolkata
06/08/2025,26,Female,Kolkata,,Working Professional,,CRY Website,,Kolkata
06/07/2025,16,Female,Kolkata ,,School Student,,CRY Website,,Kolkata
06/07/2025,21,Female,Chandrakona road,,Other,Completed 12th standard ,Social Media Sites,,Kolkata
06/05/2025,27,Male,Kolkata,,Working Professional,,CRY Volunteers/Interns,,Kolkata
06/04/2025,18,Female,Kolkata,,College/University Student,,Family/Friend,,Kolkata
06/04/2025,18,Female,Kolkata,,College/University Student,,Family/Friend,,Kolkata
06/03/2025,35,Male,Srinagar,,Working Professional,,CRY Volunteers/Interns,,Kolkata
06/03/2025,15,Female,Ranchi,,School Student,,CRY Website,,Kolkata
06/02/2025,19,Female,Krishnanagar,,College/University Student,,Online ads and Posts,,Kolkata
06/02/2025,23,Female,Kolkata,,College/University Student,,CRY Website,,Kolkata
06/02/2025,25,Female,Kolkata ,,Working Professional,,Social Media Sites,,Kolkata
06/02/2025,24,Female,Kolkata,,Other,Preparing for competitive exams,CRY Website,,Kolkata
06/02/2025,34,Female,Kolkata ,,Personal Business,,CRY Website,,Kolkata
06/01/2025,16,Female,Kolkata ,,School Student,,CRY Website,,Kolkata
06/01/2025,13,Female,Kolkata,,School Student,,CRY Website,,Kolkata
05/31/2025,20,Male,Kalyani,,School Student,,CRY Website,,Kolkata
05/31/2025,19,Female,Ranchi,,College/University Student,,Others,,Kolkata
05/31/2025,18,Male,Surat,,School Student,,Family/Friend,,Kolkata
05/30/2025,20,Female,Kolkata,,College/University Student,,CRY Website,,Kolkata
05/29/2025,18,Male,Kolkata,,College/University Student,,CRY Website,,Kolkata
05/29/2025,36,Female,Kolkata,,Other,looking for a job,CRY Website,,Kolkata
05/29/2025,21,Male,Kolkata,,College/University Student,,CRY Website,,Kolkata
05/28/2025,29,Female,Kolkata,,Working Professional,,CRY Website,,Kolkata
05/28/2025,27,Male,Bhubaneswar,,Working Professional,,Family/Friend,,Kolkata
05/27/2025,18,Male,Kolkata,,School Student,,CRY Website,,Kolkata
05/27/2025,24,Female,Kolkata,,College/University Student,,Social Media Sites,,Kolkata
05/27/2025,19,Male,Kolkata,,College/University Student,,CRY Website,,Kolkata
05/26/2025,18,Male,Bokaro,,College/University Student,,Social Media Sites,,Kolkata
05/26/2025,31,Female,Bongaon,,Working Professional,,Online ads and Posts,,Kolkata
05/26/2025,18,Female,Kolkata ,,College/University Student,,CRY Website,,Kolkata
05/26/2025,19,Female,Ranchi,,College/University Student,,Others,,Kolkata
05/26/2025,38,Female,Kolkata,,Working Professional,,Family/Friend,,Kolkata
05/26/2025,17,Female,Kolkata ,,College/University Student,,CRY Website,,Kolkata
05/25/2025,21,Male,Budge Budge,,Other,Completed Graduation in 2024; Currently in a gap year preparing for CAT and gaining relevant skills.,CRY Website,,Kolkata
05/25/2025,25,Female,Bhubaneswar ,,Working Professional,,Social Media Sites,,Kolkata
05/25/2025,22,Female,Kolkata,,Working Professional,,CRY Website,,Kolkata
05/25/2025,21,Female,Bhadreswar ,,College/University Student,,CRY Website,,Kolkata
05/24/2025,56,Female,Kolkata,,Other,English Teacher with 18 years experience currently on career break,Family/Friend,,Kolkata
05/24/2025,21,Female,Kolkata,,College/University Student,,CRY Website,,Kolkata
05/24/2025,22,Female,Keonjhar,,College/University Student,,Others,,Kolkata
05/24/2025,22,Female,Keonjhar,,College/University Student,,Others,,Kolkata
05/24/2025,16,Female,Kolkata,,School Student,,CRY Website,,Kolkata
05/24/2025,21,Female,Kolkata,,College/University Student,,CRY Website,,Kolkata
05/24/2025,17,Male,Bhubnaswar,,School Student,,CRY Website,,Kolkata
05/24/2025,22,Female,Kolkata ,,College/University Student,,Others,,Kolkata
05/24/2025,21,Female,Chinsurah ,,College/University Student,,Social Media Sites,,Kolkata
05/23/2025,28,Female,Kolkata,,College/University Student,,CRY Website,,Kolkata
05/23/2025,24,Female,Kolkata,,College/University Student,,Others,,Kolkata
05/23/2025,24,Female,Kolkata,,College/University Student,,CRY Volunteers/Interns,,Kolkata
05/23/2025,23,Female,Kolkata,,Working Professional,,CRY Website,,Kolkata
05/23/2025,20,Male,Digha,,College/University Student,,Social Media Sites,,Kolkata
05/23/2025,16,Female,Kolkata,,School Student,,CRY Website,,Kolkata
05/22/2025,23,Male,Kolkata,,College/University Student,,CRY Website,,Kolkata
05/22/2025,23,Male,Kolkata,,College/University Student,,CRY Website,,Kolkata
05/22/2025,22,Male,Kolkata,,College/University Student,,Social Media Sites,,Kolkata
05/22/2025,19,Female,Kolkata,,College/University Student,,CRY Website,,Kolkata
05/22/2025,22,Male,Barasat,,College/University Student,,CRY Website,,Kolkata
05/22/2025,21,Male,Kolkata,,College/University Student,,Social Media Sites,,Kolkata
05/22/2025,21,Male,Kolkata,,College/University Student,,Social Media Sites,,Kolkata
05/22/2025,19,Female,Jamshedpur,,College/University Student,,CRY Website,,Kolkata
05/21/2025,22,Female,SELECT,,Working Professional,,Social Media Sites,,Kolkata
05/21/2025,23,Female,Kolkata,,College/University Student,,CRY Website,,Kolkata
05/21/2025,21,Male,Kolkata,,Working Professional,,CRY Website,,Kolkata
05/21/2025,22,Female,Kolkata ,,Personal Business,,Social Media Sites,,Kolkata
05/21/2025,22,Female,Kolkata,,College/University Student,,CRY Website,,Kolkata
05/21/2025,60,Male,Burdwan,,Working Professional,,Social Media Sites,,Kolkata
05/21/2025,19.5,Male,Supaul,,College/University Student,,Others,,Kolkata
05/21/2025,34,Female,Howrah,,Working Professional,,Family/Friend,,Kolkata
05/20/2025,21,Female,Kolkata,,College/University Student,,CRY Volunteers/Interns,,Kolkata
05/20/2025,18,Female,Kolkata,,Other,Upcoming law student ,CRY Website,,Kolkata
05/20/2025,18,Female,Kolkata,,Other,Upcoming law student ,CRY Website,,Kolkata
05/20/2025,25,Female,Kolkata,,Other,Fresher,Online ads and Posts,,Kolkata
05/19/2025,23,Female,Kolkata,,College/University Student,,CRY Website,,Kolkata
05/19/2025,22,Female,Kolkata,,College/University Student,,CRY Website,,Kolkata
05/19/2025,29,Male,Kolkata,,College/University Student,,Others,,Kolkata
05/19/2025,40,Female,Rahara,,Home Maker,,CRY Website,,Kolkata
05/19/2025,22,Female,Janai,,Other,Fresher ,Social Media Sites,,Kolkata
05/19/2025,19,Female,SILIGURI,,College/University Student,,CRY Volunteers/Interns,,Kolkata
05/19/2025,18,Female,Kolkata ,,College/University Student,,Social Media Sites,,Kolkata
05/18/2025,20,Female,Bolpur,,College/University Student,,CRY Website,,Kolkata
05/18/2025,21,Male,JAMSHEDPUR,,College/University Student,,CRY Website,,Kolkata
05/18/2025,25,Male,Kolkata,,Personal Business,,Social Media Sites,,Kolkata
05/17/2025,17,Male,Kolkata,,School Student,,CRY Website,,Kolkata
